Array Size, Insertion, Selection, Merge, Quick, Tim, Hybrid
"10,000","87,174,590","80,241,146","1,971,136","1,728,526","1,609,556","1,403,358"
"20,000","377,685,794","315,885,110","3,759,330","2,823,274","3,070,150","2,330,760"
"30,000","950,347,938","735,455,112","5,160,872","4,526,422","4,477,024","3,807,212"
"40,000","1,784,302,918","1,336,771,694","6,979,328","6,339,522","6,232,688","5,346,486"
"50,000","2,959,743,470","2,117,236,170","8,996,930","8,267,846","7,827,984","6,931,038"
"60,000","4,362,309,978","3,084,146,476","10,939,468","10,165,138","9,631,170","8,469,512"
"70,000","6,196,703,472","4,234,136,552","12,878,612","12,101,978","11,350,508","9,890,152"
"80,000","10,048,478,868","5,562,123,892","15,222,464","13,599,924","13,323,228","11,489,218"
"90,000","11,026,352,956","7,113,717,652","17,815,150","15,722,392","15,528,858","13,215,688"
"100,000","13,458,148,493","8,848,546,732","20,416,305","17,807,809","17,656,932","15,014,721"
